block,district
371830532052027,1
371830532021028,1
371830532021007,1
371830532052007,1
371830532052006,1
371830532042011,1
371830532042008,1
371830532042002,1
371830532021033,1
371830532052005,1
371830532042009,1
371830532042010,1
371830532021026,1
371830532021036,1
371830532021025,1
371830532021024,1
371830532052002,1
371830532052001,1
371830532052017,1
371830532052014,1
371830532052012,1
371830532052011,1
371830532021031,1
371830532052016,1
371830532052013,1
371830532052015,1
371830532021030,1
371830532021027,1
371830532021023,1
371830532021021,1
371830532021022,1
371830532052018,1
371830532052035,1
371830532021029,1
371830532052019,1
371830532021009,1
371830531061018,1
371830531061008,1
371830531061017,1
371830532041032,1
371830532041035,1
371830532041042,1
371830532041043,1
371830532041033,1
371830532041037,1
371830532041044,1
371830532052004,1
371830532042007,1
371830532042006,1
371830532042005,1
371830532042015,1
371830532042014,1
371830532042013,1
371830532042001,1
371830532062020,1
371830532051033,1
371830532062026,1
371830532051032,1
371830532051031,1
371830532051036,1
371830532051043,1
371830532062027,1
371830532052034,1
371830532052033,1
371830532052026,1
371830532052032,1
371830532051035,1
371830532052022,1
371830532052020,1
371830532051034,1
371830532051026,1
371830532051027,1
371830532051030,1
371830532051025,1
371830532051014,1
371830532051029,1
371830532051028,1
371830532052025,1
371830532052008,1
371830532052003,1
371830532042016,1
371830532052010,1
371830532042012,1
371830532082009,1
371830532082033,1
371830532082023,1
371830532082022,1
371830532082008,1
371830532082027,1
371830532082011,1
371830532082025,1
371830532082012,1
371830532082005,1
371830532082002,1
371830532081110,1
371830532081074,1
371830532081068,1
371830532082026,1
371830532082010,1
371830532082040,1
371830532082013,1
371830532082003,1
371830532082006,1
371830532082001,1
371830532082004,1
371830532082041,1
371830532082007,1
371830532081067,1
371830532063016,1
371830532063018,1
371830532081089,1
371830532082032,1
371830532082000,1
371830532082038,1
371830532082036,1
371830532082034,1
371830532082035,1
371830532082039,1
371830532063023,1
371830532063014,1
371830532063010,1
371830532063011,1
371830532063012,1
371830532063015,1
371830532062022,1
371830532063009,1
371830532063005,1
371830532063003,1
371830532092040,1
371830532092068,1
371830532092028,1
371830532092072,1
371830532092029,1
371830532081094,1
371830532092037,1
371830532092039,1
371830532092038,1
371830532092031,1
371830532092036,1
371830532092030,1
371830532081095,1
371830532092035,1
371830532092032,1
371830532081042,1
371830532081079,1
371830532081080,1
371830532081063,1
371830532081038,1
371830532081065,1
371830532081081,1
371830532081084,1
371830532081066,1
371830532081083,1
371830532082031,1
371830532082029,1
371830532082030,1
371830532082014,1
371830532082018,1
371830532081062,1
371830532081057,1
371830532081056,1
371830532092026,1
371830532092017,1
371830532092016,1
371830532092012,1
371830532092010,1
371830532092009,1
371830532092011,1
371830532092008,1
371830534281059,1
371830532092005,1
371830532092004,1
371830532092003,1
371830532092043,1
371830532092073,1
371830532092044,1
371830532092042,1
371830532092024,1
371830532092025,1
371830532092045,1
371830532092046,1
371830532092047,1
371830532092041,1
371830532092023,1
371830532092027,1
371830532092018,1
371830532092020,1
371830532092021,1
371830532092019,1
371830532092022,1
371830532081043,1
371830532081039,1
371830532092014,1
371830532092013,1
371830532092015,1
371830532092007,1
371830532092006,1
371830534281058,1
371830529012011,1
371830531151003,1
371830531091011,1
371830531091003,1
371830531091010,1
371830529012012,1
371830531091021,1
371830529012006,1
371830529012013,1
371830529012014,1
371830529012007,1
371830529012005,1
371830529012004,1
371830529012003,1
371830529012002,1
371830529012001,1
371830529012008,1
371830529012009,1
371830529012000,1
371830529051005,1
371830529012010,1
371830529011008,1
371830529011009,1
371830529011010,1
371830529011006,1
371830529062007,1
371830529022019,1
371830529062000,1
371830529062001,1
371830529023004,1
371830529011001,1
371830529011002,1
371830529011003,1
371830529011004,1
371830529011000,1
371830529022018,1
371830529011007,1
371830529011005,1
371830532092071,1
371830532092048,1
371830532092066,1
371830532092050,1
371830532092058,1
371830532092059,1
371830532092057,1
371830532092054,1
371830532092070,1
371830532092069,1
371830532092053,1
371830532092052,1
371830532092060,1
371830531133010,1
371830531133011,1
371830532092062,1
371830532092065,1
371830532092064,1
371830531133009,1
371830531133008,1
371830532092061,1
371830532092055,1
371830532092051,1
371830532092056,1
371830532092063,1
371830531062029,1
371830531062028,1
371830532092067,1
371830532092049,1
371830531091013,1
371830531091004,1
371830531145010,1
371830531145004,1
371830531145009,1
371830531145003,1
371830531145006,1
371830531142012,1
371830531142011,1
371830531142002,1
371830531145000,1
371830531145002,1
371830531145001,1
371830531145007,1
371830531145008,1
371830531145005,1
371830531093037,1
371830531093032,1
371830531093040,1
371830531142003,1
371830531142018,1
371830531142009,1
371830531142006,1
